Project Title,Objective,OutCome,Skills,SuperVisior
Smart Energy Meter Using IoT,To promote efficient energy utilization and real-time monitoring,Product,IoT Embedded Systems Sensors Cloud Platforms Python,Anshu Mehta(E13356)
Wearable Health Monitoring System,To enable early health anomaly detection through continuous monitoring.,Product,Sensors Embedded Systems IoT Signal Processing C/C++,Anshu Mehta(E13356)
Smart Agriculture Monitoring System,To improve crop yield and optimize resource usage.,Product,IoT Sensors Embedded Systems Data Analysis Cloud,Anshu Mehta(E13356)
AI-Based Diabetic Retinopathy Detection System,To assist early diagnosis of diabetic retinopathy using AI.,Research paper,Python Deep Learning CNNs Image Processing ML,Anshu Mehta(E13356)
An Intelligent Attendance System Based on Facial Recognition Techniques,To ensure accurate and secure attendance management.,Research paper,Python OpenCV Machine Learning Databases AI,Anshu Mehta(E13356)
Cloud-Based Student Performance Analytics System,To analyze student performance data using cloud-based analytics and derive actionable insights through statistical and predictive models for academic improvement.,Research paper,Cloud Computing Python Data Analytics SQL Data Visualization,Anshu Mehta(E13356)
AI-Powered Resume Screening System,To design and evaluate an AI-driven resume screening model that improves recruitment efficiency through automated skill matching and comparative performance analysis.,Research paper,Python Machine Learning Natural Language Processing Data Analytics SQL,Anshu Mehta(E13356)
Personalized Disease Risk Prediction Using Secure Multi-Cloud AI Models in Healthcare,The primary objective of this project is to design and implement a secure privacy-aware AI system for personalized disease risk prediction using a multi-cloud environment. The project aims to demonstrate how federated learning can enable collaborative model training across distributed healthcare data sources without exposing sensitive patient information.,Product,Python Scikit-learn TensorFlow/PyTorch,Vaneet Kumar(E11321)
Multi-Sensor IoT System for Early Detection of Health Anomalies,To design and develop a multi-sensor IoT system that integrates wearable ambient and behavioral sensors for continuous health monitoring. To establish personalized health baselines for individuals using machine learning techniques instead of relying on population-based thresholds. To detect early deviations or anomalies from normal health patterns and generate timely alerts as decision-support information.,Product,IoT Python Understanding of sensor technologies,Vaneet Kumar(E11321)
Smart Tutor: IoT-Based Focus Monitoring and Study Assistant for Kids,The objective of the Smart Tutor project is to develop an IoT-based system that monitors a child's focus and posture during study sessions providing real-time alerts whenever attention drops or the child leaves the study area. The system aims to promote sustained study habits by sending gentle reminders and tracking task completion. It integrates wearable and ambient sensors to offer personalized feedback on attention span study duration and behavioral patterns. Additionally the project ensu,Hackathon,IoT Python Understanding of sensor technologies,Vaneet Kumar(E11321)
Artificial Intelligence Based Crime Prediction and Prevention System,"Data Collection and Integration Data Analysis Predictive Analytics & Forecasting Resource Allocation and Prevention",Patent,AI Data Analytics,Soumya Ranjan Jena(E19677)
AI Based Smart Energy Meter using Theft Detection,"Reduces NTLs: Significant reduction in financial losses from theft. Improves Accuracy: Ensures fair billing and grid management. Enhances Reliability: Improves power quality and supply stability. Automated Response: Reduces manual inspection needs.",Research paper,AI ML,Soumya Ranjan Jena(E19677)
Air Quality Prediction Using Machine Learning Models,To forecast air pollution levels and evaluate prediction models.,Research paper,Python Pandas ML Models Statistics Data Visualization,Surinder Kaur(E1033)
Performance Analysis of Load Balancing Algorithms in Cloud Computing,To experimentally evaluate load balancing strategies for cloud systems.,Research paper,Cloud Basics Networking Linux Simulation Tools Data Analysis,Surinder Kaur(E1033)
Online Blood Donation Management System,To streamline blood donation processes reduce response time during emergencies and improve healthcare accessibility.,Product,HTML CSS JavaScript PHP MySQL,Parul Parihar(E12273)
AI-Powered Resume Screening Tool,To reduce manual effort in recruitment and improve fairness and efficiency in candidate shortlisting.,Product,Python NLP Basics Regex Data Processing Flask,Parul Parihar(E12273)
Intelligent Chatbot Using NLP and Deep Learning,To develop a smart conversational chatbot that understands and responds to user queries accurately. To enhance automation and improve human-computer interaction using AI-based NLP models.,Product,Python NLP Deep Learning Neural Networks Text Processing,Manish Sharma(E5593)
Fake News Detection Using Machine Learning and NLP,To automatically detect fake news using machine learning techniques. To reduce misinformation by providing a reliable content verification system.,Research paper,Python NLP Machine Learning Text Mining Data Analysis,Manish Sharma(E5593)
Emotion Detection from Facial Expressions Using Deep Learning,To build an automated emotion recognition system using facial images. To improve user experience and behavioral analysis using AI-driven emotion detection.,Research paper,Python Deep Learning CNNs Image Processing OpenCV,Manish Sharma(E5593)
Predictive Analysis of Stock Market Using Machine Learning,To develop a stock market prediction system using machine learning. To assist investors by providing trend analysis and predictive insights.,Research paper,Python Machine Learning Data Analysis Statistics Time Series,Manish Sharma(E5593)
Smart Traffic Management System Using Artificial Intelligence,To build an intelligent traffic monitoring system using AI. To reduce congestion and enhance urban transportation efficiency through data-driven decisions.,Research paper,Python Deep Learning Machine Learning Data Analysis AI,Manish Sharma(E5593)
AI-Based Plant Species Identification Using Deep Learning,To develop an AI-based system for automatic plant species identification. To improve classification accuracy and provide a fast reliable tool for botanical research and education.,Research paper,Python Deep Learning CNNs Image Processing Data Analysis,Manish Sharma(E5593)
Handwritten Digit Recognition Using Neural Networks,To design a handwritten digit recognition system using deep learning. To achieve high accuracy in digit classification and understand neural network-based learning models.,Research paper,Python Neural Networks Deep Learning CNNs Image Processing,Manish Sharma(E5593)
Content based Image Retrieval,To do content based image retrieval,Research paper,Python programming machine learning,Rajani Misra(E8033)
Semantic image segmentation,To apply semantic segmentation using deep learning techniques,Research paper,Python programming machine learning,Rajani Misra(E8033)
Hybrid CBIR System Using Deep Features and Traditional Feature Matching,"Extract deep and handcrafted image features Fuse multiple feature representations Improve semantic retrieval performance Evaluate using standard CBIR metrics Bridge the gap between low-level and high-level features",Research paper,Python Deep Learning OpenCV CNNs Feature Matching,Rajani Misra(E8033)
Scene Image Retrieval Using Bag of Visual Words Model,"Extract SIFT descriptors Build visual vocabulary using k-means Represent images as feature histograms Perform similarity matching Evaluate retrieval performance",Research paper,Python OpenCV Machine Learning Clustering,Rajani Misra(E8033)
An AI-Based Image Recognition System Using Deep Learning.,To develop an AI-based image recognition system.,Research paper,"OpenCV Python  Jupyter Notebook",Shikha Kamal(E12552)
Smart Attendance System (Face Recognition),To automate the traditional attendance system To reduce proxy attendance To improve accuracy and save time To implement real-time face recognition using AI,Research paper,Uses OpenCV + CNN,Rajneet Kaur(E12892)
Traffic Sign Recognition System,To identify traffic signs accurately To enhance road safety To apply deep learning for image classification To support autonomous vehicle research,Product,Python,Rajneet Kaur(E12892)
Industrial Defect Image Retrieval Using Feature Matching and Deep Learning,Develop a CBIR system for industrial defect images Extract texture shape and deep visual features Perform feature matching using similarity metrics Retrieve visually similar defect cases efficiently Reduce manual inspection time and human error,Research paper,Python OpenCV Image Processing Deep Learning Feature Extraction,Rajani Misra(E8033)
Quantum-Inspired Decision Kill-Switch for Safe and Trustworthy Artificial Intelligence Systems,To develop a quantum-inspired decision kill-switch that enables AI systems to withhold decisions under high uncertainty or risk instead of forcing potentially unsafe outputs. To introduce a decision-level safety framework that enhances trustworthiness and reliability of AI systems without aiming to improve model accuracy or computational performance. To demonstrate the effectiveness of the proposed mechanism in security-critical applications such as biometric authentication and fraud detectio,Research paper,Python OpenCV,Rajani Misra(E8033)
AI-Powered Smart Wearable for Early Health Risk Detection,The objective is to design an intelligent low-power wearable system capable of detecting early health risks before critical conditions arise. The project aims to shift healthcare from reactive treatment to proactive prevention by enabling continuous health assessment. Another objective is to perform AI inference at the edge to ensure low latency privacy preservation and reduced communication costs. The system also aims to provide explainable alerts to users and caregivers improving trust and,Product,Embedded Systems & Microcontrollers Python / Embedded C Machine Learning Fundamentals Sensor Inte,Suraj Pal Singh(E13804)
AI-Driven Autonomous Waste Segregation and Collection Robot,The objective is to design an intelligent robotic system that automates waste collection and segregation with minimal human intervention. The project aims to address inefficient waste management practices by combining AI-driven perception with autonomous navigation. Another objective is to reduce human exposure to hazardous waste and improve recycling efficiency. The system is designed to be modular and scalable allowing deployment in smart cities campuses and industrial areas. This project e,Product,Robotics & Embedded Systems Computer Vision (OpenCV CNNs) Python / ROS Motor Control & Sensors,Suraj Pal Singh(E13804)
AI-Based Cyberbullying Severity Detection System,To design an AI-based system that automatically detects cyberbullying content and classifies its severity levels using natural language processing and machine learning techniques. The project aims to support safer online environments by enabling early identification of harmful interactions while providing interpretable insights into linguistic patterns associated with varying severity levels.,Product,Python NLP basics Machine learning concepts Data preprocessing Text analysis,Komalpreet Saini(E14279)
AI-Based Resume Skill Gap Analysis and Career Guidance System,To develop an AI-based system that analyzes resumes and job descriptions to identify missing skills and learning gaps. The project aims to support students and job seekers by providing data-driven insights into employability requirements comparing traditional text-based methods with modern embedding techniques for accurate skill gap detection.,Product,Python NLP basics Machine learning concepts Data preprocessing Text similarity,Komalpreet Saini(E14279)
Driver Drowsiness Detection and Alert System,To enhance road safety by developing an intelligent system capable of detecting fatigue indicators in drivers. The project emphasizes real-time analysis and proactive accident prevention.,Research paper,Python ML OpenCV Image processing Hardware,Dilshad Kaur(E13682)
Machine Learning–Based Learning Style Adaptation System,To design a machine learning–based system that identifies students' preferred learning styles—such as visual textual or practice-oriented—by analyzing interaction and engagement data. The project aims to improve personalized learning experiences through behavior modeling model comparison and feature importance analysis while supporting adaptive educational platforms.,Research paper,Python Machine learning basics Data analysis Feature engineering Statistics,Komalpreet Saini(E14279)
Intelligent Classroom Noise Pattern Analysis Using Machine Learning,To analyze classroom acoustic data and apply machine learning to classify learning environments. The project focuses on audio feature extraction classification models and low-cost sensing for academic analytics without using cameras.,Research paper,Python ML basics Audio features Data analysis Arduino,Dilshad Kaur(E13682)
Gesture-Based Presentation Controller,To create touch-free and intuitive presentation control systems.,Product,Python OpenCV Image Processing ML Basics,Gagandeep Kaur(E19500)
Smart Plagiarism Detection System,To detect duplicate or copied content efficiently,Product,Python,Rajan Sachdeva(E12441)
YouTube Video Download Manager,To provide offline access to educational and informational videos.,Product,Python,Rajan Sachdeva(E12441)
Guess the Character Game,To improve logical reasoning and decision-making,Hackathon,Python,Rajan Sachdeva(E12441)
IoT-Enabled Automated Irrigation System,To conserve water and improve crop yield through automated irrigation control.,Product,Arduino Sensors Embedded C IoT Basics Circuit Design,Parul Parihar(E12273)
Page Rank,Complete the following functions : transition model  sample_pagerank iterative page_rank,Service,Python  How Search Engines operate  Random Surfer Model  HTML,Lipakshi(E19704)
Build your own Linux / Dos commands,Build your own Linux / Dos command using Linux and scripting knowledge in Bash.,Product,Linux  Bash Scripting,Lipakshi(E19704)
X (twitter) Sentiment Analysis using Python,Classification Report drawing comparison between different classification models,Product,Python  Knowledge of Data Science,Lipakshi(E19704)
IoT-Based Smart Energy Monitoring System,To design a low-cost smart energy monitoring system acquire real-time energy data transmit data securely to the cloud visualize power usage trends and promote energy-efficient practices.,Product,Embedded C IoT Basics Sensors Microcontrollers Cloud Platforms,Simranjeet Kour(E13963)
